Filename                           Electrostatics        Exchange      Dispersion    Polarization  ChargeTransfer     ALMO/TZVPPD
001_Li-F_0.80                         -239.494527      141.871726       -5.764364      -31.397873      -18.947132     -153.732170
001_Li-F_0.90                         -218.578107       77.331620       -3.603442      -19.831047      -13.337620     -178.018595
001_Li-F_0.95                         -209.201912       57.842424       -2.890081      -16.668762      -11.187428     -182.105784
001_Li-F_1.00                         -200.464269       43.625598       -2.344312      -14.522323       -9.348327     -183.053633
001_Li-F_1.05                         -192.306979       33.160707       -1.921033      -13.047490       -7.789842     -181.904637
001_Li-F_1.10                         -184.680593       25.388217       -1.591778      -11.992949       -6.491993     -179.369097
001_Li-F_1.20                         -170.860253       15.169264       -1.121128      -10.556549       -4.583724     -171.952414
001_Li-F_1.30                         -158.728705        9.266659       -0.810325       -9.472371       -3.412691     -163.157433
001_Li-F_1.40                         -148.054278        5.773757       -0.593834       -8.460731       -2.771845     -154.106883
001_Li-F_1.50                         -138.629422        3.666228       -0.437930       -7.448446       -2.485827     -145.335397
001_Li-F_2.00                         -104.684345        0.482983       -0.094336       -3.256286       -2.561974     -110.113958
002_Li-Cl_0.80                        -179.242519      111.039388       -6.465272      -31.387094      -17.109919     -123.165440
002_Li-Cl_0.90                        -167.577892       58.616850       -4.097610      -23.054995      -11.588098     -147.701745
002_Li-Cl_0.95                        -161.463265       42.906573       -3.287596      -20.440774       -9.713432     -151.998518
002_Li-Cl_1.00                        -155.421678       31.570507       -2.652199      -18.511831       -8.178059     -153.193236
002_Li-Cl_1.05                        -149.551219       23.346630       -2.153896      -17.043738       -6.907170     -152.309417
002_Li-Cl_1.10                        -143.908843       17.346248       -1.756238      -15.877486       -5.859273     -150.055593
002_Li-Cl_1.20                        -133.417185        9.696176       -1.182768      -13.990225       -4.346200     -143.240201
002_Li-Cl_1.30                        -124.028705        5.501004       -0.801028      -12.302438       -3.490607     -135.121773
002_Li-Cl_1.40                        -115.694288        3.168332       -0.541420      -10.645554       -3.116157     -126.829087
002_Li-Cl_1.50                        -108.308795        1.858365       -0.362476       -9.033437       -3.018666     -118.864986
002_Li-Cl_2.00                         -81.710970        0.187882       -0.052438       -3.356310       -2.629995      -87.561831
003_Li-Br_0.80                        -164.429541      104.174235       -6.368881      -31.669503      -16.283317     -114.577008
